"","A1","A3","B","C","D","E","PP01","PP02","PP03","PP04","TL01","TL02","TL03","TL04"
"A1",0,0.042506728795235,0.0345368406914332,0.0622641496536295,0.033004271271785,0.055576961210116,0.463108672538559,0.423510283913939,0.484153507086012,0.39223415698547,0.414624024458774,0.372138717605341,0.374175187330812,0.494283080512008
"A3",0.042506728795235,0,0.0689684634415432,0.0961659255856726,0.0682700274929507,0.0819272318190514,0.506366144080036,0.466755308831039,0.525536018168652,0.432934592071627,0.452648623107965,0.407711431645717,0.414750792921569,0.528474696788157
"B",0.0345368406914332,0.0689684634415432,0,0.0233699620517209,0.0154512916125304,0.0542054269143638,0.405406877744952,0.36824551147542,0.420750970841144,0.343546223755111,0.364824524664887,0.328548376823927,0.323971156961825,0.437816248180251
"C",0.0622641496536295,0.0961659255856726,0.0233699620517209,0,0.0346637145983767,0.0827996714465738,0.516864332477,0.476080073761474,0.536122146767392,0.440230125088994,0.462366700368214,0.416517591786759,0.424212250482001,0.540443756002762
"D",0.033004271271785,0.0682700274929507,0.0154512916125304,0.0346637145983767,0,0.0531168365912677,0.451195613457766,0.411389495037537,0.472572150147522,0.381243155701414,0.404639858481946,0.363935431291514,0.363616205328893,0.485718640852262
"E",0.055576961210116,0.0819272318190514,0.0542054269143638,0.0827996714465738,0.0531168365912677,0,0.503336644821728,0.462995500490235,0.52082128140553,0.430010252181266,0.448892696432464,0.403996340439599,0.41092477168828,0.523217806171943
"PP01",0.463108672538559,0.506366144080036,0.405406877744952,0.516864332477,0.451195613457766,0.503336644821728,0,0.0770138989650091,0.0768215881850074,0.0570451351760024,0.200503102780673,0.209457198541739,0.178828817331036,0.212497440817938
"PP02",0.423510283913939,0.466755308831039,0.36824551147542,0.476080073761474,0.411389495037537,0.462995500490235,0.0770138989650091,0,0.0563527907473862,0.0505867155996279,0.18498938348012,0.194303190629384,0.164324187571558,0.19877582427317
"PP03",0.484153507086012,0.525536018168652,0.420750970841144,0.536122146767392,0.472572150147522,0.52082128140553,0.0768215881850074,0.0563527907473862,0,0.0458748986811778,0.196928153580879,0.197434652802243,0.164492146688804,0.213445958696921
"PP04",0.39223415698547,0.432934592071627,0.343546223755111,0.440230125088994,0.381243155701414,0.430010252181266,0.0570451351760024,0.0505867155996279,0.0458748986811778,0,0.168682702564695,0.180214886482324,0.149950630131031,0.178832016113713
"TL01",0.414624024458774,0.452648623107965,0.364824524664887,0.462366700368214,0.404639858481946,0.448892696432464,0.200503102780673,0.18498938348012,0.196928153580879,0.168682702564695,0,0.110538872320086,0.0788601539649675,0.135734011680484
"TL02",0.372138717605341,0.407711431645717,0.328548376823927,0.416517591786759,0.363935431291514,0.403996340439599,0.209457198541739,0.194303190629384,0.197434652802243,0.180214886482324,0.110538872320086,0,0.0360608249650621,0.0919210515703531
"TL03",0.374175187330812,0.414750792921569,0.323971156961825,0.424212250482001,0.363616205328893,0.41092477168828,0.178828817331036,0.164324187571558,0.164492146688804,0.149950630131031,0.0788601539649675,0.0360608249650621,0,0.0435622597038962
"TL04",0.494283080512008,0.528474696788157,0.437816248180251,0.540443756002762,0.485718640852262,0.523217806171943,0.212497440817938,0.19877582427317,0.213445958696921,0.178832016113713,0.135734011680484,0.0919210515703531,0.0435622597038962,0
