"","1","2","3","4","5","6","7","8","9","10","11","12","13","14"
"1",0,0.0965194280961063,0.106066017177986,0.122036879671687,0.142270868416558,0.11765202930677,6.09245279013305,6.06174141645782,6.06776441533454,6.06184732569207,5.93462998004088,5.92296159028573,5.91376098603926,5.91520160265059
"2",0.0965194280961063,0,0.198600100704911,0.212445287074112,0.227237760946551,0.212720473861829,6.14564374170842,6.11504284531187,6.1212048650572,6.11550529392298,5.99040274105172,5.97841400373042,5.96896883892017,5.970287932755
"3",0.106066017177986,0.198600100704911,0,0.0183575597506906,0.0465725240887818,0.0216333076527848,6.07443734019867,6.04358974451443,6.04942947723172,6.04322935192766,5.91325806979536,5.90201762111908,5.89314321903006,5.8947440996196
"4",0.122036879671687,0.212445287074112,0.0183575597506906,0,0.0291547594742229,0.0294108823397111,6.08152036911823,6.05065153516545,6.05646134306165,6.05021536806749,5.91979611135384,5.90862665938542,5.89980626800576,5.90143346992916
"5",0.142270868416558,0.227237760946551,0.0465725240887818,0.0291547594742229,0,0.0573149195236306,6.10260600071805,6.0717122790857,6.07748648702735,6.07118604557627,5.94023063525315,5.92914707188143,5.92039187892153,5.92205074277484
"6",0.11765202930677,0.212720473861829,0.0216333076527848,0.0294108823397111,0.0573149195236306,0,6.0538999826558,6.02304383181793,6.02887161913405,6.02265331892846,5.8925133007911,5.88129849608061,5.87244386946355,5.87405447710523
"7",6.09245279013305,6.14564374170842,6.07443734019867,6.08152036911823,6.10260600071805,6.0538999826558,0,0.0317804971641373,0.0310161248385333,0.0466904701197078,0.250639182890461,0.240010416440611,0.234008546852455,0.227035239555438
"8",6.06174141645782,6.11504284531187,6.04358974451443,6.05065153516545,6.0717122790857,6.02304383181793,0.0317804971641373,0,0.0121655250605961,0.0270185121722106,0.225410736212807,0.212896688560432,0.205548047910943,0.1982044399099
"9",6.06776441533454,6.1212048650572,6.04942947723172,6.05646134306165,6.07748648702735,6.02887161913405,0.0310161248385333,0.0121655250605961,0,0.0174928556845366,0.220513038163283,0.209267771049437,0.203022166277481,0.196022957839125
"10",6.06184732569207,6.11550529392298,6.04322935192766,6.05021536806749,6.07118604557627,6.02265331892846,0.0466904701197078,0.0270185121722106,0.0174928556845366,0,0.203960780543714,0.193507105812679,0.188095720312826,0.1813973538947
"11",5.93462998004088,5.99040274105172,5.91325806979536,5.91979611135384,5.94023063525315,5.8925133007911,0.250639182890461,0.225410736212807,0.220513038163283,0.203960780543714,0,0.0269258240356702,0.0475394572960184,0.0553624421426671
"12",5.92296159028573,5.97841400373042,5.90201762111908,5.90862665938542,5.92914707188143,5.88129849608061,0.240010416440611,0.212896688560432,0.209267771049437,0.193507105812679,0.0269258240356702,0,0.0206155281280902,0.0286356421265559
"13",5.91376098603926,5.96896883892017,5.89314321903006,5.89980626800576,5.92039187892153,5.87244386946355,0.234008546852455,0.205548047910943,0.203022166277481,0.188095720312826,0.0475394572960184,0.0206155281280902,0,0.00921954445729683
"14",5.91520160265059,5.970287932755,5.8947440996196,5.90143346992916,5.92205074277484,5.87405447710523,0.227035239555438,0.1982044399099,0.196022957839125,0.1813973538947,0.0553624421426671,0.0286356421265559,0.00921954445729683,0
