"","sit1","sit2","sit3","sit4","sit5","sit6","sit7","sit8","sit9","sit10","sit11","sit12","sit13","sit14","sit15","sit16","sit17","sit18"
"sit1",0,3.43412690458096,1.94968854685401,3.27307174411887,1.83294687183015,0.359802923658229,0.562504355007158,0.919992188567339,1.14080070492156,1.08123147031675,2.51535905112799,2.0447466812874,0.568632600126057,2.47166695817704,1.10189175056389,0.655476187860287,0.47075065219712,1.37211335740794
"sit2",3.43412690458096,0,2.09305383138211,2.79151106019562,2.07058840848804,3.75385031033061,2.91433958195647,3.47912850751679,2.61788129426194,2.80962430945851,3.41763847592058,1.39089011911516,3.83855837611617,1.35013655136305,2.68762706034456,3.27546731877922,3.43484407582254,3.19172381711092
"sit3",1.94968854685401,2.09305383138211,0,3.57676014168172,0.148837384514426,2.30856093035233,1.40588089274185,1.56186367712444,1.89876985292529,0.936171489468424,3.47004935222206,1.09585602289211,2.50372251490826,0.759256883882094,1.94424706431155,2.19963812622244,1.70845026676579,2.5965281005134
"sit4",3.27307174411887,2.79151106019562,3.57676014168172,0,3.4461760014853,3.36773196629445,3.12302293579624,3.97017997363291,2.16970657221712,3.55408742176348,1.21279773452437,2.52650011029043,3.2528585979472,3.27325958682154,2.1913527839886,2.67401302979289,3.62271150792165,2.02754065124926
"sit5",1.83294687183015,2.07058840848804,0.148837384514426,3.4461760014853,0,2.19261942602174,1.28206122082257,1.50409322140298,1.75008699837626,0.854870226685256,3.32286072900682,0.990190439431403,2.38123916020833,0.770714250520613,1.7958192262993,2.06053489888995,1.61612825970691,2.44848841881487
"sit6",0.359802923658229,3.75385031033061,2.30856093035233,3.36773196629445,2.19261942602174,0,0.920146740854766,1.15814972592934,1.32922052192587,1.42729495534886,2.49867858360524,2.37035826210156,0.257900604356172,2.82674799444752,1.27683079500832,0.695109629311293,0.73008757619977,1.37593749680409
"sit7",0.562504355007158,2.91433958195647,1.40588089274185,3.12302293579624,1.28206122082257,0.920146740854766,0,0.84722428893455,0.96642376881613,0.62890155514869,2.56518596427276,1.5248135708368,1.0991837741852,1.90956356243183,0.961829137469644,0.87280056637406,0.564652813684523,1.47270447906215
"sit8",0.919992188567339,3.47912850751679,1.56186367712444,3.97017997363291,1.50409322140298,1.15814972592934,0.84722428893455,0,1.80847747996477,0.671994960017613,3.36250890414635,2.14874425673129,1.41518841232395,2.26659645551151,1.79780116391507,1.54134244999945,0.449393334059709,2.23310626368281
"sit9",1.14080070492156,2.61788129426194,1.89876985292529,2.16970657221712,1.75008699837626,1.32922052192587,0.96642376881613,1.80847747996477,0,1.48975841706546,1.64464588962616,1.35508601128646,1.31738005762755,2.0612994518133,0.0697949537408675,0.694847304558619,1.45380935635356,0.709070276805808
"sit10",1.08123147031675,2.80962430945851,0.936171489468424,3.55408742176348,0.854870226685256,1.42729495534886,0.62890155514869,0.671994960017613,1.48975841706546,0,3.13070404185424,1.50139062699785,1.64981321633712,1.60320340732683,1.50448400548304,1.50163613052935,0.775721785445561,2.07765606756839
"sit11",2.51535905112799,3.41763847592058,3.47004935222206,1.21279773452437,3.32286072900682,2.49867858360524,2.56518596427276,3.36250890414635,1.64464588962616,3.13070404185424,0,2.62831251529172,2.32279909718654,3.42722340102898,1.62626363184609,1.86072814464613,2.94653318606407,1.14325720558737
"sit12",2.0447466812874,1.39089011911516,1.09585602289211,2.52650011029043,0.990190439431403,2.37035826210156,1.5248135708368,2.14874425673129,1.35508601128646,1.50139062699785,2.62831251529172,0,2.47079745364685,0.799807692895297,1.42242502824751,1.94500775343924,2.05588350458773,2.02840645136185
"sit13",0.568632600126057,3.83855837611617,2.50372251490826,3.2528585979472,2.38123916020833,0.257900604356172,1.0991837741852,1.41518841232395,1.31738005762755,1.64981321633712,2.32279909718654,2.47079745364685,0,2.98095942739035,1.25690280266599,0.630095036908265,0.982540693249829,1.23190294216853
"sit14",2.47166695817704,1.35013655136305,0.759256883882094,3.27325958682154,0.770714250520613,2.82674799444752,1.90956356243183,2.26659645551151,2.0612994518133,1.60320340732683,3.42722340102898,0.799807692895297,2.98095942739035,0,2.1228830186691,2.54957550782821,2.3320506262989,2.76296535376706
"sit15",1.10189175056389,2.68762706034456,1.94424706431155,2.1913527839886,1.7958192262993,1.27683079500832,0.961829137469644,1.79780116391507,0.0697949537408675,1.50448400548304,1.62626363184609,1.42242502824751,1.25690280266599,2.1228830186691,0,0.631373776051811,1.43184061773414,0.655586700496803
"sit16",0.655476187860287,3.27546731877922,2.19963812622244,2.67401302979289,2.06053489888995,0.695109629311293,0.87280056637406,1.54134244999945,0.694847304558619,1.50163613052935,1.86072814464613,1.94500775343924,0.630095036908265,2.54957550782821,0.631373776051811,0,1.10379797065086,0.717686798599271
"sit17",0.47075065219712,3.43484407582254,1.70845026676579,3.62271150792165,1.61612825970691,0.73008757619977,0.564652813684523,0.449393334059709,1.45380935635356,0.775721785445561,2.94653318606407,2.05588350458773,0.982540693249829,2.3320506262989,1.43184061773414,1.10379797065086,0,1.80820731718547
"sit18",1.37211335740794,3.19172381711092,2.5965281005134,2.02754065124926,2.44848841881487,1.37593749680409,1.47270447906215,2.23310626368281,0.709070276805808,2.07765606756839,1.14325720558737,2.02840645136185,1.23190294216853,2.76296535376706,0.655586700496803,0.717686798599271,1.80820731718547,0
