"","sit1","sit2","sit3","sit4","sit5","sit6","sit7","sit8","sit9","sit10","sit11","sit12","sit13"
"sit1",0,1.5345637348653,1.46854152214714,4.28416521405068,3.00195331484748,3.64877465295704,2.60547375861883,3.19702582326218,2.78170050176703,2.67973818521853,2.29663815468412,3.7243992842769,2.87094313930725
"sit2",1.5345637348653,0,0.552527688399572,2.8286770914985,2.49761306251987,2.13228885288767,1.72462862986792,2.99841624746762,1.8079186647028,1.38594099697777,2.42417884056046,2.81458862858258,2.31761171409907
"sit3",1.46854152214714,0.552527688399572,0,3.21293119834688,3.03639632552701,2.44694810450146,2.27705332935011,3.50939028459646,2.35875391716518,1.89866701594189,2.8658485623793,3.3633564305593,2.85848094822164
"sit4",4.28416521405068,2.8286770914985,3.21293119834688,0,2.83548564240872,0.849146930323176,2.20213033202903,3.51454280627263,2.00022678618653,1.66159969951648,3.7421700371355,2.04625651665495,2.72200512374085
"sit5",3.00195331484748,2.49761306251987,3.03639632552701,2.83548564240872,0,2.8438164569496,0.902209681074012,0.696565297646456,0.990722326734579,1.68862594321404,1.13241339630215,1.03675770465273,0.185117268759635
"sit6",3.64877465295704,2.13228885288767,2.44694810450146,0.849146930323176,2.8438164569496,0,2.02982737464571,3.53969467834628,1.8737127274463,1.28399953990848,3.54280860370687,2.32205458566948,2.69139357788709
"sit7",2.60547375861883,1.72462862986792,2.27705332935011,2.20213033202903,0.902209681074012,2.02982737464571,0,1.56403714415685,0.213901119873675,0.799149229766376,1.54649945901113,1.13876620448907,0.722339082922228
"sit8",3.19702582326218,2.99841624746762,3.50939028459646,3.51454280627263,0.696565297646456,3.53969467834628,1.56403714415685,0,1.67785365751061,2.3621643545599,0.959795667467915,1.59293164623648,0.852762398880252
"sit9",2.78170050176703,1.8079186647028,2.35875391716518,2.00022678618653,0.990722326734579,1.8737127274463,0.213901119873675,1.67785365751061,0,0.707785665628495,1.74246188077022,1.0103513408318,0.825097806260833
"sit10",2.67973818521853,1.38594099697777,1.89866701594189,1.66159969951648,1.68862594321404,1.28399953990848,0.799149229766376,2.3621643545599,0.707785665628495,0,2.26225559895823,1.56327177692713,1.51456737861371
"sit11",2.29663815468412,2.42417884056046,2.8658485623793,3.7421700371355,1.13241339630215,3.54280860370687,1.54649945901113,0.959795667467915,1.74246188077022,2.26225559895823,0,2.16069980087483,1.13496005963328
"sit12",3.7243992842769,2.81458862858258,3.3633564305593,2.04625651665495,1.03675770465273,2.32205458566948,1.13876620448907,1.59293164623648,1.0103513408318,1.56327177692713,2.16069980087483,0,1.03314578064301
"sit13",2.87094313930725,2.31761171409907,2.85848094822164,2.72200512374085,0.185117268759635,2.69139357788709,0.722339082922228,0.852762398880252,0.825097806260833,1.51456737861371,1.13496005963328,1.03314578064301,0
