,belarus,bulgaria,croatia,finland,greece,italy,latvia,poland,russia,ukraine
belarus,NA,0.065472,0.084656,0.052894,0.069265,0.22479,0.016929,0.020568,0.0082091,0.029279
bulgaria,0.065472,NA,0.076101,0.096726,0.026334,0.2513,0.067015,0.063854,0.063269,0.047506
croatia,0.084656,0.076101,NA,0.11765,0.079974,0.26671,0.087773,0.082004,0.08335,0.064979
finland,0.052894,0.096726,0.11765,NA,0.099519,0.27391,0.046077,0.057717,0.048636,0.05039
greece,0.069265,0.026334,0.079974,0.099519,NA,0.25665,0.071635,0.06738,0.066773,0.050279
italy,0.22479,0.2513,0.26671,0.27391,0.25665,NA,0.24162,0.23161,0.23104,0.20744
latvia,0.016929,0.067015,0.087773,0.046077,0.071635,0.24162,NA,0.018355,0.016309,0.026645
poland,0.020568,0.063854,0.082004,0.057717,0.06738,0.23161,0.018355,NA,0.021865,0.026677
russia,0.0082091,0.063269,0.08335,0.048636,0.066773,0.23104,0.016309,0.021865,NA,0.025313
ukraine,0.029279,0.047506,0.064979,0.05039,0.050279,0.20744,0.026645,0.026677,0.025313,NA
