"","7MBNP","BRO","CONGO","CRP","MEROO","MOGO","MONGA","MUR","PLUM","TR"
"7MBNP",0,0.265193841154011,0.269913077575156,0.230555400316356,0.211575585573155,0.196588931113423,0.204210606986199,0.235140126805317,0.199487060150295,0.19294710508954
"BRO",0.265193841154011,0,0.154408374091704,0.230860958613481,0.141407280123677,0.0603149534453511,0.0844097715918301,0.142239204886702,0.0933433016460068,0.37903756139847
"CONGO",0.269913077575156,0.154408374091704,0,0.283575267200635,0.189909607406797,0.140232146174596,0.108712194828307,0.198123409661532,0.119323282748873,0.365955631279768
"CRP",0.230555400316356,0.230860958613481,0.283575267200635,0,0.179580288877911,0.193475235954255,0.146166731925202,0.207123765980047,0.142235150475331,0.314834645095556
"MEROO",0.211575585573155,0.141407280123677,0.189909607406797,0.179580288877911,0,0.0887658663734284,0.065476832794948,0.0971367671425374,0.0730046032964099,0.301045730459507
"MOGO",0.196588931113423,0.0603149534453511,0.140232146174596,0.193475235954255,0.0887658663734284,0,0.0213363255895663,0.100490704959173,0.0276286139262483,0.273494913965883
"MONGA",0.204210606986199,0.0844097715918301,0.108712194828307,0.146166731925202,0.065476832794948,0.0213363255895663,0,0.0810424067788184,0.0184447160029338,0.302197674421726
"MUR",0.235140126805317,0.142239204886702,0.198123409661532,0.207123765980047,0.0971367671425374,0.100490704959173,0.0810424067788184,0,0.0870755207531305,0.336608785963113
"PLUM",0.199487060150295,0.0933433016460068,0.119323282748873,0.142235150475331,0.0730046032964099,0.0276286139262483,0.0184447160029338,0.0870755207531305,0,0.296907594162306
"TR",0.19294710508954,0.37903756139847,0.365955631279768,0.314834645095556,0.301045730459507,0.273494913965883,0.302197674421726,0.336608785963113,0.296907594162306,0
