"","sit1","sit2","sit3","sit4","sit5","sit6","sit7","sit8","sit9","sit10","sit11","sit12","sit13","sit14"
"sit1",0,3.26144783583408,4.25054033525757,3.52650696144538,3.38857337565131,3.97973785413946,4.24875321012205,3.5812021254752,3.95948233851344,3.65029433889807,3.74255092525771,3.95129739554559,4.21726324921936,4.17130569213278
"sit2",3.26144783583408,0,2.21128501553806,3.19025342558271,3.3410218422367,2.76131587079321,2.30337150251756,3.4479600686245,3.32813335632348,3.35039225501551,4.63749748892705,2.96378642025977,2.40503346546737,2.9910442226004
"sit3",4.25054033525757,2.21128501553806,0,1.83161719533771,2.11478318924624,0.944525049104025,0.123071287841515,2.09618259906371,1.66416907275304,1.92552333441718,3.52192228575708,1.21601657844446,0.283837794215333,1.07579288365969
"sit4",3.52650696144538,3.19025342558271,1.83161719533771,0,0.298052331018385,0.931291090837491,1.73042964533946,0.278152932086519,0.453326621018839,0.165714518016307,1.69236939792696,0.700788447615602,1.58295619925286,0.951140812072053
"sit5",3.38857337565131,3.3410218422367,2.11478318924624,0.298052331018385,0,1.22764218072691,2.01690307564824,0.192631779879604,0.703738721755372,0.307204723896826,1.42403805092641,0.998519944125305,1.87246394766042,1.24725183613064
"sit6",3.97973785413946,2.76131587079321,0.944525049104025,0.931291090837491,1.22764218072691,0,0.830985076684459,1.17678864320497,0.720377489856979,0.999803843649322,2.59887195660717,0.271659051538683,0.673032419270013,0.238897911418973
"sit7",4.24875321012205,2.30337150251756,0.123071287841515,1.73042964533946,2.01690307564824,0.830985076684459,0,1.99178410688754,1.54887676919253,1.81932520009758,3.41782283292091,1.10175025704805,0.162366719236211,0.954766701323781
"sit8",3.5812021254752,3.4479600686245,2.09618259906371,0.278152932086519,0.192631779879604,1.17678864320497,1.99178410688754,0,0.568348217499733,0.18026003096123,1.42604874112601,0.926282433862781,1.84073343925161,1.16067595492322
"sit9",3.95948233851344,3.32813335632348,1.66416907275304,0.453326621018839,0.703738721755372,0.720377489856979,1.54887676919253,0.568348217499733,0,0.399726160440528,1.92517023556934,0.448806198546997,1.38874417111876,0.631882224855569
"sit10",3.65029433889807,3.35039225501551,1.92552333441718,0.165714518016307,0.307204723896826,0.999803843649322,1.81932520009758,0.18026003096123,0.399726160440528,0,1.5997626394112,0.746652775379475,1.66670866339208,0.980502647954953
"sit11",3.74255092525771,4.63749748892705,3.52192228575708,1.69236939792696,1.42403805092641,2.59887195660717,3.41782283292091,1.42604874112601,1.92517023556934,1.5997626394112,0,2.33976977747324,3.2662611290796,2.55500119443006
"sit12",3.95129739554559,2.96378642025977,1.21601657844446,0.700788447615602,0.998519944125305,0.271659051538683,1.10175025704805,0.926282433862781,0.448806198546997,0.746652775379475,2.33976977747324,0,0.942693233054881,0.257814955383263
"sit13",4.21726324921936,2.40503346546737,0.283837794215333,1.58295619925286,1.87246394766042,0.673032419270013,0.162366719236211,1.84073343925161,1.38874417111876,1.66670866339208,3.2662611290796,0.942693233054881,0,0.792439152383441
"sit14",4.17130569213278,2.9910442226004,1.07579288365969,0.951140812072053,1.24725183613064,0.238897911418973,0.954766701323781,1.16067595492322,0.631882224855569,0.980502647954953,2.55500119443006,0.257814955383263,0.792439152383441,0
